#序列号    类型          状态        状态原因编号   签发时间/吊销时间         颁发者序列号      算法
#     ROOT/CA/END   V正常R吊销N未知     0-9    例如 2000/06/17-12:12:12     A00001	 RSA|DSA|ECC|SM2
10fcbc692 E V 0 2024/10/24-14:30:02 13fbe8654e31862 ECC
10fcbc9f9 E V 0 2024/10/24-14:30:35 13fbe8654e31862 RSA
10fcbc901 E V 0 2024/10/24-14:30:35 13fbe8654e31862 RSA
10fcbc950 E V 0 2024/10/24-14:30:44 13fbe8654e31862 ECC
10fcbc8f6 E V 0 2024/10/24-14:30:44 13fbe8654e31862 ECC
10fcbc88f E V 0 2024/10/24-14:30:59 13fbe8654e31862 RSA
10fcbc8bd E V 0 2024/10/24-14:30:59 13fbe8654e31862 RSA
10fcbca3b E V 0 2024/10/24-14:31:03 13fbe8654e31862 SM2
10fcbc922 E V 0 2024/10/24-14:31:03 13fbe8654e31862 SM2
10fcbc6d9 E V 0 2024/10/24-14:31:22 13fbe8654e31862 ecc
10fcbc9d0 E V 0 2024/10/24-14:31:22 13fbe8654e31862 ecc
10fcbca05 E V 0 2024/10/24-14:31:26 13fbe8654e31862 ECC
10fcbc80f E V 0 2024/10/24-14:31:26 13fbe8654e31862 ECC
10fcbcba4 E V 0 2024/10/24-14:38:12 13fbe8654e31862 ECC
10fcbc92b E V 0 2024/10/24-14:38:12 13fbe8654e31862 ECC
10fcbca3f E V 0 2024/10/24-14:38:49 13fbe8654e31862 RSA
10fcbcb3b E V 0 2024/10/24-14:38:53 13fbe8654e31862 ECC
10fcbc8fe E V 0 2024/10/24-14:39:00 13fbe8654e31862 SM2
10fcbca0f E V 0 2024/10/24-14:39:03 13fbe8654e31862 RSA
10fcbca33 E V 0 2024/10/24-14:39:05 13fbe8654e31862 RSA
10fcbcb47 E V 0 2024/10/24-14:39:06 13fbe8654e31862 RSA
10fcbcb91 E V 0 2024/10/24-14:39:16 13fbe8654e31862 RSA
10fcbcacb E V 0 2024/10/24-14:39:24 13fbe8654e31862 RSA
10fcbca20 E V 0 2024/10/24-14:39:39 13fbe8654e31862 RSA
10fcbca07 E V 0 2024/10/24-14:39:51 13fbe8654e31862 ECC
10fcbcbbd E V 0 2024/10/24-14:40:03 13fbe8654e31862 SM2
10fcbcc68 E V 0 2024/10/24-14:40:13 13fbe8654e31862 RSA
10fcbcd05 E V 0 2024/10/24-14:44:41 13fbe8654e31862 ECC
10fcbcbb5 E V 0 2024/10/24-14:44:41 13fbe8654e31862 ECC
10fcbca41 E V 0 2024/10/24-14:44:56 13fbe8654e31862 sha1
10fcbcb8c E V 0 2024/10/24-14:44:56 13fbe8654e31862 sha1
10fcbcb9d E V 0 2024/10/24-14:45:01 13fbe8654e31862 SHA1
10fcbcadf E V 0 2024/10/24-14:45:01 13fbe8654e31862 SHA1
10fcbcbd4 E V 0 2024/10/24-14:45:10 13fbe8654e31862 SHA2
10fcbcb99 E V 0 2024/10/24-14:45:10 13fbe8654e31862 SHA2
10fcbcdce E V 0 2024/10/24-14:45:19 13fbe8654e31862 RSA
10fcbcaec E V 0 2024/10/24-14:45:30 13fbe8654e31862 RSA
10fcbcd4b E V 0 2024/10/24-14:48:34 13fbe8654e31862 RSA
10fcbcda9 E V 0 2024/10/24-14:48:35 13fbe8654e31862 RSA
10fcbcda8 E V 0 2024/10/24-14:48:39 13fbe8654e31862 RSA
10fcbcb48 E V 0 2024/10/24-14:48:39 13fbe8654e31862 RSA
10fcbcbb8 E V 0 2024/10/24-14:49:54 13fbe8654e31862 RSA
10fcbcd15 E V 0 2024/10/24-14:49:55 13fbe8654e31862 RSA
10fcbcd1c E V 0 2024/10/24-14:50:13 13fbe8654e31862 RSA
