#序列号    类型          状态        状态原因编号   签发时间/吊销时间         颁发者序列号      算法
#     ROOT/CA/END   V正常R吊销N未知     0-9    例如 2000/06/17-12:12:12     A00001	 RSA|DSA|ECC|SM2
13fbe8656c0728b R V 0 2025/10/18-19:46:20 13fbe8656c0728b RSA
111a55b34 E V 0 2025/10/18-19:46:20 13fbe8656c0728b RSA
111a55db8 E V 0 2025/10/18-19:46:20 13fbe8656c0728b RSA
111a55d59 E V 0 2025/10/18-19:46:20 13fbe8656c0728b RSA
13fbe8656c072fb R V 0 2025/10/18-19:48:11 13fbe8656c072fb ECC
13fbe8656c0732a R V 0 2025/10/18-19:48:58 13fbe8656c0732a SM2
1cdd3306849fc C V 0 2025/11/02-19:52:26 13fbe8656c0728b RSA
1cdd3306849b1 C V 0 2025/11/02-19:53:21 13fbe8656c0728b RSA
111b924f0 E V 0 2025/11/02-19:57:16 1cdd3306849b1 RSA
